term,frequency,example_headline_1,example_headline_2,in_vader_lexicon,selected_for_custom_lexicon
buy,15776,Is AbbVie's Stock a Buy?,Better Buy: Abbott Laboratories vs. Pfizer,False,True
earnings,11773,AbbVie Inc (ABBV) Q4 2019 Earnings Call Transcript,AbbVie Reports Estimate-Beating Fourth-Quarter Earnings Results,False,False
you,7220,"Buffett Owns Teva Stock, But Should You?",Could This Cancer Drug Developer’s Stock Make You Rich?,False,False
market,6858,From JP Morgan Healthcare Conference: AbbVie CEO Sees Humira Continuing To Grow In US Through The Time It Loses Market Exclusivity,3 Value Stocks to Buy if the Stock Market Implodes,False,False
etf,6813,"NOBL, TGT, ABBV, ADM: Large Inflows Detected at ETF",Insiders Buy the Holdings of DHS ETF,False,False
dividend,6698,3 High-Yield Dividend Stocks I'd Buy Right Now,"Beyond the Growing Dividend, Abbvie Stock Is a Good Buy Here",False,True
should,5960,5 Key Things Investors Should Look Forward to With AbbVie in 2020,"Buffett Owns Teva Stock, But Should You?",False,False
know,3979,AbbVie (ABBV) Stock Sinks As Market Gains: What You Should Know,"Know These 3 Facts to Avoid Paying Half Your Retirement Income to the IRS - March 18, 2020",False,False
investors,3942,5 Key Things Investors Should Look Forward to With AbbVie in 2020,3 Growth Stocks for Low Risk Investors,False,False
oil,3401,"Shares of several healthcare companies are trading lower with the overall market on continued downward momentum after oil prices fell to historic lows, partially stemming from weak demand caused by the coronavirus pandemic.","BUZZ-U.S. STOCKS ON THE MOVE-Airlines, banks, oil stocks, Co-Diagnostics",False,False
these,3206,"Know These 3 Facts to Avoid Paying Half Your Retirement Income to the IRS - March 18, 2020","Improve Your Retirement Income with These 3 Top-Ranked Dividend Stocks - March 18, 2020",False,False
higher,3150,AbbVie shares are trading higher after the company announced Allergan entered into definitive agreements to divest brazikumab and Zenpep. The agreements are apart of the approval process for AbbVie's acquisition of Allergan.,AbbVie shares are trading higher after the company reported better-than-expected Q4 EPS and sales results. The company also issued FY20 EPS guidance above analyst estimates and sales growth of ~8%.,False,False
amd,3150,"5 Top Stock Trades for Thursday: AMD, NVDA, FB, QCOM, ABBV","SPYG, FB, ABT, AMD: Large Inflows Detected at ETF",False,False
street,3066,Signs of Coronavirus Slowdown Pep Up Wall Street: 5 Winners,"Franklin Street Advisors Inc Buys Clorox Co, Accenture PLC, AbbVie Inc, Sells Constellation ...",False,False
big,3062,"IWM, RNDV: Big ETF Outflows",Invesco S&P Ultra Dividend Revenue ETF Experiences Big Inflow,False,False
estimates,3058,AbbVie Q4 adjusted earnings Beat Estimates,AbbVie shares are trading higher after the company reported better-than-expected Q4 EPS and sales results. The company also issued FY20 EPS guidance above analyst estimates and sales growth of ~8%.,False,False
right,3019,3 High-Yield Dividend Stocks I'd Buy Right Now,3 Top Healthcare Stocks to Buy Right Now,False,False
option,2837,"Notable Tuesday Option Activity: COF, ABBV, HBI","Notable Thursday Option Activity: ABBV, EBAY, MED",False,False
inc,2812,AbbVie Inc (ABBV) Q4 2019 Earnings Call Transcript,"Spirit Of America Management Corp Buys Hess Midstream Operations LP, Blackstone Group Inc, TC ...",False,False
fundamental,2783,Validea Daily Guru Fundamental Report for ABBV - 2/16/2023,Validea Guru Fundamental Report for ABBV - 2/22/2023,False,False
activity,2734,"Notable Tuesday Option Activity: COF, ABBV, HBI","Notable Thursday Option Activity: ABBV, EBAY, MED",False,False
stocks-wall,2604,"US STOCKS-Wall St slumps as tech stocks slide, COVID cases jump","US STOCKS-Wall Street ends lower, weighed down by Apple",False,False
tech,2499,Coronavirus-Fighting Tech Makes iBio Stock an Interesting Play,"BUZZ-U.S. STOCKS ON THE MOVE-Jernigan Capital, Keurig Dr Pepper, Spirit AeroSystems, Tyme Tech",False,False
wall,2463,Signs of Coronavirus Slowdown Pep Up Wall Street: 5 Winners,AbbVie (ABBV) Reports Next Week: Wall Street Expects Earnings Growth,False,False
your,2416,5 Ways to Make Your Money Work for You,"How Trading Your Own Retirement Can Fleece Your Financial Future - March 17, 2020",False,False
options,2412,March 13th Options Now Available For AbbVie (ABBV),April 9th Options Now Available For AbbVie (ABBV),False,False
trading,2376,AbbVie shares are trading higher after the company announced Allergan entered into definitive agreements to divest brazikumab and Zenpep. The agreements are apart of the approval process for AbbVie's acquisition of Allergan.,AbbVie shares are trading higher after the company reported better-than-expected Q4 EPS and sales results. The company also issued FY20 EPS guidance above analyst estimates and sales growth of ~8%.,False,False
movers,2292,"S&P 500 Movers: NRG, DOW","S&P 500 Movers: ALGN, META",False,False
coronavirus,2286,"'China testing HIV drug as treatment for new coronavirus, AbbVie says' -Reuters",Gilead's Ebola Drug Shows Positive Signs in Treating Coronavirus,False,False
analyst,2258,AbbVie shares are trading higher after the company reported better-than-expected Q4 EPS and sales results. The company also issued FY20 EPS guidance above analyst estimates and sales growth of ~8%.,AbbVie Reaches Analyst Target Price,False,False
buys,2238,Top Insider Buys Highlight for the Week of March 6,"DZ BANK AG Deutsche Zentral Genossenschafts Bank, Buys Bank of America Corp, The Walt Disney ...",False,True
data,2159,Gilead Sciences’ Remdesivir Data Release Brings Much Needed Relief for Patients and Investors,Earnings Data Deluge,False,False
noteworthy,2126,"Noteworthy ETF Outflows: IWF, ABBV, COST, NKE","Noteworthy ETF Outflows: VT, HON, ABBV, LLY",False,False
notable,2113,"Notable Tuesday Option Activity: COF, ABBV, HBI","Notable Thursday Option Activity: ABBV, EBAY, MED",False,False
beat,2079,AbbVie Q4 adjusted earnings Beat Estimates,"AbbVie Q4 EPS $2.21 Beats $2.19 Estimate, Sales $8.704B Beat $8.7B Estimate",False,True
guru,2023,Validea Daily Guru Fundamental Report for ABBV - 2/16/2023,Validea Guru Fundamental Report for ABBV - 2/22/2023,False,False
call,1960,AbbVie Inc (ABBV) Q4 2019 Earnings Call Transcript,AbbVie Q4 19 Earnings Conference Call At 9:00 AM ET,False,False
set,1910,DexCom & Domino's Pizza Set to Join S&P 5……; Salesforce. ...,US STOCKS-Wall Street set to recover from sharp weekly losses,False,False
invest,1896,3 Dividend Stocks Ideal for Retirees With Money To Invest In The Bear Market,"Have $1,000 to Invest? 3 Great High-Yield Dividend Stocks to Buy Right Now",False,False
nasdaq,1836,"FDA Nod For EPZM, RARE, Court Rules In MYL's Favor, Ocuphire To Hop Onto Nasdaq, ALPN Soars","US STOCKS-Apple, Amazon set to knock S&P 500, Nasdaq off record peak",False,False
companies,1813,3 High-Yielding U.S. Pharmaceutical Companies to Consider,Pharmaceutical Companies Gain in the Fight Against Covid-–9,False,False
down,1799,Biogen (BIIB) Stock Down Despite Q1 Earnings & Sales Beat,"ImmunoGen (IMGN) Q1 Earnings and Sales Miss, Shares Down",False,False
watch,1798,5 High-Yield Dividend Stocks to Watch in the Coronavirus Sell-Off,Stocks To Watch: AbbVie Sees Relative Strength Rating Jump To 83,False,False
zacks,1764,"The Zacks Analyst Blog Highlights: Macy's, AbbVie, Pfizer and New Residential Investment","Agilysys, Manpower, Eli Lilly and Company, Innoviva and AbbVie highlighted as Zacks Bull and Bear of the Day",False,False
intc,1764,"After Hours Most Active for Mar 17, 2023 : LUMN, F, HBI, ABBV, IBM, PEB, INTC, GOOG, AAPL, HBAN, AMZN, VSAT","After Hours Most Active for Jul 7, 2023 : INTC, AAPL, BAC, KO, TLT, QQQ, GOOGL, PLTR, RIVN, ABBV, HL, RLJ",False,False
here's,1756,Here's Why Editas Could Beat Intellia to a CRISPR Therapy,Here's Exactly Why Warren Buffett Loaded Up on Big Pharma Stocks,False,False
