fund_name,gross_cumulative_return,net_cumulative_return,gross_annualised_return,net_annualised_return,gross_sharpe_ratio,net_sharpe_ratio,gross_max_drawdown,net_max_drawdown,average_turnover,total_turnover,estimated_cost_drag,transaction_cost_rate
Combined Equal Weight,0.5175255920297184,0.5167638655427222,0.14979185312494026,0.1495986739265358,0.763278938231054,0.7624780293729819,-0.28746987990265416,-0.2874698799026547,0.013888888888888888,0.5,0.0007617264869961282,0.001
Combined Maximum Sharpe,0.9555168704237353,0.9317255827637361,0.2516243122959285,0.24650746986200356,1.0335229857308101,1.0171171958105205,-0.2630764702166489,-0.26454389593891914,0.34176531227760465,12.303551241993768,0.023791287659999272,0.001
Combined Minimum Variance,0.1849339071266476,0.17831757341634846,0.058431061256253525,0.05644953474199155,0.508843052524558,0.4942548697465987,-0.1541466464025797,-0.15480637930331476,0.15593388211420092,5.613619756111233,0.006616333710299127,0.001
Crypto Equal Weight,2.8461201242605467,2.844232887975994,0.5023323130370598,0.5021095363491603,0.9124430846675288,0.912259019024964,-0.8159730614257943,-0.8159730614257938,0.0125,0.5,0.0018872362845527846,0.001
Crypto Maximum Sharpe,-0.2620597152484424,-0.2717024096997309,-0.08773228494535257,-0.0913506780801977,0.2692730877338628,0.26411721301494967,-0.8927531504846552,-0.8936126974079843,0.32977816441100877,13.19112657644035,0.009642694451288514,0.001
Crypto Minimum Variance,6.414016120768667,6.386378138936309,0.831844857154465,0.829778843716638,1.2593981721858372,1.257652855465098,-0.7125382347838974,-0.712700311644223,0.09359959078971772,3.743983631588709,0.027637981832357994,0.001
Equity Equal Weight,0.4272603332576044,0.42653678977527276,0.12643529221978822,0.12624415445216974,0.8173873626510391,0.816276548711139,-0.20321862626913656,-0.20321862626913645,0.013888888888888888,0.5,0.0007235434823316123,0.001
Equity Maximum Sharpe,0.3095872032915197,0.2934439895165588,0.09446118655319746,0.08992750456228715,0.5864545783484055,0.5638572662573237,-0.2611776100473875,-0.26265091245648053,0.34595233802637837,12.454284168949622,0.016143213774960863,0.001
Equity Minimum Variance,0.1824167763528719,0.17583646404529896,0.057678075163160925,0.055704558643303814,0.5040267127913078,0.48946066558470613,-0.15183089530007887,-0.15251831436185492,0.1554284184910355,5.595423065677278,0.006580312307572944,0.001
Guarded Minimum Variance,0.18792919064506353,0.18123024828675427,0.05932569876098315,0.05732276180575924,0.5151977766856886,0.5004740324648569,-0.15251449581446808,-0.15317830377048391,0.15748075871221456,5.669307313639724,0.006698942358309257,0.001
Guarded Minimum Variance + Finance Lexicon Sentiment Tilt,0.18776077396762636,0.1810605255484503,0.05927543556522341,0.057271917844785136,0.514828479831139,0.5000995246066361,-0.1525920015721104,-0.15325414874991306,0.1575337069474929,5.671213450109745,0.006700248419176047,0.001
Guarded Minimum Variance + Sentiment Tilt,0.1877332756445682,0.18103334243344227,0.05926722836474796,0.05726377412812411,0.5147685152727803,0.500039870236753,-0.15261764706387881,-0.15327968872443554,0.15752992723821815,5.671077380575854,0.006699933211125941,0.001
