fund_name,first_rebalance_date,latest_rebalance_date,rebalance_count,average_equity_weight,minimum_equity_weight,maximum_equity_weight,latest_equity_weight,average_crypto_weight,minimum_crypto_weight,maximum_crypto_weight,latest_crypto_weight
Combined Equal Weight,2021-01-04,2023-12-01,36,0.8333333333333333,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.16666666666666669,0.16666666666666666,0.16666666666666666,0.16666666666666666
Combined Maximum Sharpe,2021-01-04,2023-12-01,36,0.9057564455164179,0.3649266306184543,1.0,0.851898372762232,0.09424355448358228,1.6422362880516413e-16,0.6350733693815459,0.14810162723776807
Combined Minimum Variance,2021-01-04,2023-12-01,36,0.9940702598159462,0.9715325716482248,1.0000000000000002,0.9715325716482248,0.005929740184053946,2.632645231507984e-19,0.02846742835177531,0.02846742835177531
Crypto Equal Weight,2020-09-10,2023-12-01,40,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Crypto Maximum Sharpe,2020-09-10,2023-12-01,40,0.0,0.0,0.0,0.0,1.0,0.9999999999999999,1.0000000000000002,1.0
Crypto Minimum Variance,2020-09-10,2023-12-01,40,0.0,0.0,0.0,0.0,1.0,0.9999999999999999,1.0000000000000002,1.0
Equity Equal Weight,2021-01-04,2023-12-01,36,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Equity Maximum Sharpe,2021-01-04,2023-12-01,36,1.0,0.9999999999999998,1.0000000000000002,1.0,0.0,0.0,0.0,0.0
Equity Minimum Variance,2021-01-04,2023-12-01,36,1.0,0.9999999999999999,1.0000000000000002,1.0,0.0,0.0,0.0,0.0
Guarded Minimum Variance,2021-01-04,2023-12-01,36,0.9939797906732336,0.9712850150407585,1.0000000000000002,0.9716589449477367,0.006020209326766374,2.374908669616504e-19,0.028714984959241532,0.02834105505226336
Guarded Minimum Variance + Finance Lexicon Sentiment Tilt,2021-01-04,2023-12-01,36,0.9940479447043362,0.9715979056184942,1.0000000000000002,0.971953041561097,0.005952055295663845,2.3404617386147274e-19,0.028402094381505833,0.028046958438902894
Guarded Minimum Variance + Sentiment Tilt,2021-01-04,2023-12-01,36,0.9940421630364717,0.9715698500761064,1.0000000000000002,0.9719236777487477,0.005957836963528406,2.3426474839842006e-19,0.028430149923893797,0.02807632225125243
